s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_3@TE0_1@TE0_re,s_3@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,s_3@TE0_2@TE0_re,s_3@TE0_2@TE0_im,s_1@TE0_3@TE0_re,s_1@TE0_3@TE0_im,s_2@TE0_3@TE0_re,s_2@TE0_3@TE0_im,s_3@TE0_3@TE0_re,s_3@TE0_3@TE0_im,wavelength
-0.0016076461778683799,0.003427609933844319,-0.05014057303717537,-0.6949973540362917,-0.05014057304082687,-0.6949973540326209,-0.05014057303717537,-0.6949973540362917,0.0003125356820177759,6.374226313322944e-05,0.0003125356820177759,6.374226313322944e-05,-0.05014057304082687,-0.6949973540326209,0.0003125356820177759,6.374226313322944e-05,0.0003125356820177759,6.374226313322944e-05,0.7324024024024024
-0.0014713033824344565,0.0034544753347083555,-0.06045784593245116,-0.6941590448031689,-0.060457845936002876,-0.6941590447994516,-0.06045784593245116,-0.6941590448031689,0.00031182858800866964,5.517826857878634e-05,0.00031182858800866964,5.517826857878634e-05,-0.060457845936002876,-0.6941590447994516,0.00031182858800866964,5.517826857878634e-05,0.00031182858800866964,5.517826857878634e-05,0.7325025025025025
-0.0013352648628345354,0.0034763112544347434,-0.07075746489619494,-0.6931676444060698,-0.07075746489969567,-0.6931676444023631,-0.07075746489619494,-0.6931676444060698,0.0003109063262287339,4.669496812958382e-05,0.0003109063262287339,4.669496812958382e-05,-0.07075746489969567,-0.6931676444023631,0.0003109063262287339,4.669496812958382e-05,0.0003109063262287339,4.669496812958382e-05,0.7326026026026026
-0.0011997014938130686,0.003493175580008899,-0.0810371565987515,-0.6920235700029385,-0.0810371566022537,-0.692023569999087,-0.0810371565987515,-0.6920235700029385,0.0003097724818892097,3.8297328991548044e-05,0.0003097724818892097,3.8297328991548044e-05,-0.0810371566022537,-0.692023569999087,0.0003097724818892097,3.8297328991548044e-05,0.0003097724818892097,3.8297328991548044e-05,0.7327027027027027
-0.0010647805266635506,0.003505131444765931,-0.09129465831926331,-0.6907272725915687,-0.09129465832267948,-0.6907272725877296,-0.09129465831926331,-0.6907272725915687,0.00030843074521261324,2.9990191617871322e-05,0.00030843074521261324,2.9990191617871322e-05,-0.09129465832267948,-0.6907272725877296,0.00030843074521261324,2.9990191617871322e-05,0.00030843074521261324,2.9990191617871322e-05,0.7328028028028027
-0.0009306654501234879,0.003512247055093635,-0.10152771846093288,-0.689279236725713,-0.10152771846430243,-0.6892792367218078,-0.10152771846093288,-0.689279236725713,0.00030688490731670126,2.1778267777163484e-05,0.00030688490731670126,2.1778267777163484e-05,-0.10152771846430243,-0.6892792367218078,0.00030688490731670126,2.1778267777163484e-05,0.00030688490731670126,2.1778267777163484e-05,0.7329029029029028
-0.0007975158585587604,0.00351459551405577,-0.1117340969889826,-0.6876799801404667,-0.11173409699234102,-0.6876799801364818,-0.1117340969889826,-0.6876799801404667,0.00030513885612384715,1.3666138575308728e-05,0.00030513885612384715,1.3666138575308728e-05,-0.11173409699234102,-0.6876799801364818,0.00030513885612384715,1.3666138575308728e-05,0.00030513885612384715,1.3666138575308728e-05,0.733003003003003
-0.0006654873268383504,0.0035122546435175234,-0.12191156602444438,-0.6859300535759022,-0.12191156602767893,-0.6859300535719115,-0.12191156602444438,-0.6859300535759022,0.00030319657217826694,5.6582527898292125e-06,0.00030319657217826694,5.6582527898292125e-06,-0.12191156602767893,-0.6859300535719115,0.00030319657217826694,5.6582527898292125e-06,0.00030319657217826694,5.6582527898292125e-06,0.7331031031031031
-0.000534731292849574,0.003505306802515651,-0.1320579091806679,-0.6840300402552091,-0.13205791021664054,-0.684030040323738,-0.1320579091806679,-0.6840300402552091,0.0003010621245900537,-2.2410752022613576e-06,0.0003010621245900537,-2.2410752022613576e-06,-0.13205791021664054,-0.684030040323738,0.0003010621245900537,-2.2410752022613576e-06,0.0003010621245900537,-2.2410752022613576e-06,0.7332032032032032
-0.00040539494677422966,0.003493838704771797,-0.142170927241565,-0.6819805559831067,-0.14217092724465782,-0.6819805559790769,-0.142170927241565,-0.6819805559831067,0.00029873966626198147,-1.0027664655312547e-05,0.00029873966626198147,-1.0027664655312547e-05,-0.14217092724465782,-0.6819805559790769,0.00029873966626198147,-1.0027664655312547e-05,0.00029873966626198147,-1.0027664655312547e-05,0.7333033033033033
-0.000277621127591337,0.0034779412340135065,-0.15224842827968815,-0.679782248080953,-0.1522484282828588,-0.6797822480767819,-0.15224842827968815,-0.679782248080953,0.0002962334308128551,-1.7697474235750753e-05,0.0002962334308128551,-1.7697474235750753e-05,-0.1522484282828588,-0.6797822480767819,0.0002962334308128551,-1.7697474235750753e-05,0.0002962334308128551,-1.7697474235750753e-05,0.7334034034034034
-0.00015154822665761032,0.0034577092578308402,-0.1622882384306392,-0.6774357957753162,-0.1622882384336475,-0.6774357957711681,-0.1622882384306392,-0.6774357957753162,0.0002935477272395274,-2.5246598756684772e-05,0.0002935477272395274,-2.5246598756684772e-05,-0.1622882384336475,-0.6774357957711681,0.0002935477272395274,-2.5246598756684772e-05,0.0002935477272395274,-2.5246598756684772e-05,0.7335035035035035
-2.731009834050213e-05,0.0034332414402697005,-0.17228819716378374,-0.674941909494192,-0.17228819716673066,-0.6749419094900052,-0.17228819716378374,-0.674941909494192,0.0002906869362483242,-3.267127253445538e-05,0.0002906869362483242,-3.267127253445538e-05,-0.17228819716673066,-0.6749419094900052,0.0002906869362483242,-3.267127253445538e-05,0.0002906869362483242,-3.267127253445538e-05,0.7336036036036035
9.496402232378241e-05,0.0034046400533943866,-0.18224615874084785,-0.6723013305934923,-0.18224615874402028,-0.6723013305892303,-0.18224615874084785,-0.6723013305934923,0.0002876555059260051,-3.99678698439091e-05,0.0002876555059260051,-3.99678698439091e-05,-0.18224615874402028,-0.6723013305892303,0.0002876555059260051,-3.99678698439091e-05,0.0002876555059260051,-3.99678698439091e-05,0.7337037037037036
0.00021514959496673857,0.0033720107880242634,-0.19215999263228975,-0.6695148310076027,-0.19215999263511144,-0.6695148310033426,-0.19215999263228975,-0.6695148310076027,0.00028445794752435455,-4.713290576936756e-05,0.00028445794752435455,-4.713290576936756e-05,-0.19215999263511144,-0.6695148310033426,0.00028445794752435455,-4.713290576936756e-05,0.00028445794752435455,-4.713290576936756e-05,0.733803803803804
0.00033312684235014764,0.0033354625639805038,-0.20202758392325035,-0.6665832128940804,-0.20202758392601694,-0.6665832128897413,-0.20202758392325035,-0.6665832128940804,0.00028109883124577086,-5.416303684419666e-05,0.00028109883124577086,-5.416303684419666e-05,-0.20202758392601694,-0.6665832128897413,0.00028109883124577086,-5.416303684419666e-05,0.00028109883124577086,-5.416303684419666e-05,0.7339039039039039
0.0004487808140687176,0.0032951073386534024,-0.2118468335470846,-0.663507308285034,-0.21184683371327884,-0.6635073082714545,-0.2118468335470846,-0.663507308285034,0.0002775827820596409,-6.10550617900523e-05,0.0002775827820596409,-6.10550617900523e-05,-0.21184683371327884,-0.6635073082714545,0.0002775827820596409,-6.10550617900523e-05,0.0002775827820596409,-6.10550617900523e-05,0.734004004004004
0.000562001430067302,0.003251059922745841,-0.22161565948990164,-0.6602879786794911,-0.2216156594925193,-0.6602879786751465,-0.22161565948990164,-0.6602879786794911,0.00027391447549741276,-6.78059214700041e-05,0.00027391447549741276,-6.78059214700041e-05,-0.2216156594925193,-0.6602879786751465,0.00027391447549741276,-6.78059214700041e-05,0.00027391447549741276,-6.78059214700041e-05,0.7341041041041041
0.0006726835511242939,0.0032034377782156286,-0.23133199553262088,-0.6569261147703039,-0.23133199553518718,-0.6569261147659071,-0.23133199553262088,-0.6569261147703039,0.0002700986335287886,-7.441270006910209e-05,0.0002700986335287886,-7.441270006910209e-05,-0.23133199553518718,-0.6569261147659071,0.0002700986335287886,-7.441270006910209e-05,0.0002700986335287886,-7.441270006910209e-05,0.7342042042042042
