s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_3@TE0_1@TE0_re,s_3@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,s_3@TE0_2@TE0_re,s_3@TE0_2@TE0_im,s_1@TE0_3@TE0_re,s_1@TE0_3@TE0_im,s_2@TE0_3@TE0_re,s_2@TE0_3@TE0_im,s_3@TE0_3@TE0_re,s_3@TE0_3@TE0_im,wavelength_μm
-0.0040257096966751,0.0018757446000225,-0.567325190326533,0.39154789053008,-0.5673266991024586,0.3915378855172666,-0.5664463451019531,0.3897108160823028,-0.0318508860664054,0.0358219213738219,0.0269737857284017,-0.0336656796228143,-0.5664463451019531,0.3897108160823028,0.0269737857284017,-0.0336656796228143,-0.0318508860664054,0.0358219213738219,0.5892999999999999
-0.0030367802035356,0.0025815000242996,-0.4059972487211997,0.5571562748517342,-0.4060020022330853,0.5571473522735804,-0.4057895041428613,0.5551448350837084,-0.0155719847578475,0.0448215710581397,0.0117729590165728,-0.0415198200743991,-0.4057895041428613,0.5551448350837084,0.0117729590165728,-0.0415198200743991,-0.0155719847578475,0.0448215710581397,0.5893999999999999
-0.0018610354971923,0.0028460555180173,-0.1990416219779391,0.6600993871510823,-0.1990490716687386,0.6600925647284623,-0.1995126991768947,0.6581525182568492,0.0029211736419472,0.0467843052755377,-0.0052917178609956,-0.0428539463075338,-0.1995126991768947,0.6581525182568492,-0.0052917178609956,-0.0428539463075338,0.0029211736419472,0.0467843052755377,0.5894999999999999
-0.0006846741338362,0.0026337759829462,0.0302535007804947,0.6888596067407912,0.0302442106146412,0.6888556606073154,0.0291777229584014,0.6871954766038362,0.0207205622817651,0.0414050290984506,-0.0215434564319483,-0.0374511610333188,0.0291777229584014,0.6871954766038362,-0.0215434564319483,-0.0374511610333188,0.0207205622817651,0.0414050290984506,0.5896
0.0003076212485005,0.0019840958616419,0.2561245575740745,0.6402646178036303,0.2561144915897031,0.6402639941253837,0.2545813763372508,0.6390552406606511,0.035028198406832,0.0295314303884821,-0.0344269693404202,-0.0261506609736547,0.2545813763372508,0.6390552406606511,-0.0344269693404202,-0.0261506609736547,0.035028198406832,0.0295314303884821,0.5897
0.0009616675536261,0.001004781886508,0.4532282979511154,0.5198264939490459,0.4532186077261194,0.5198292583478322,0.4513941157810391,0.5191846526479046,0.0435947890283854,0.0130314767622868,-0.041909946285392,-0.0107210575330853,0.4513941157810391,0.5191846526479046,-0.041909946285392,-0.0107210575330853,0.0435947890283854,0.0130314767622868,0.5898
0.0011777831685448,-0.0001454983466785,0.5994828504056304,0.3411061191293046,0.5994746425479257,0.3411119497234197,0.5975507785225467,0.341083331386632,0.0450733446728355,-0.0054990749916199,-0.0428059631177443,0.0064138631486326,0.5975507785225467,0.341083331386632,-0.0428059631177443,0.0064138631486326,0.0450733446728355,-0.0054990749916199,0.5899
0.0009260637017159,-0.0012824960585368,0.6785359139676279,0.1241771840629946,0.6785301235020832,0.1241854089345481,0.6766991243584748,0.124767903968109,0.0392319773257116,-0.0231442145660633,-0.0369660103774727,0.0225558662868105,0.6766991243584748,0.124767903968109,-0.0369660103774727,0.0225558662868105,0.0392319773257116,-0.0231442145660633,0.59
0.0002505818727867,-0.0022255578266523,0.6815847089507477,-0.1066353429114857,0.6815819925510662,-0.1066256681386676,0.6800252313624644,-0.10548869190654,0.0269915767100277,-0.0371267656504528,-0.0253056907794092,0.035159730259451,0.6800252313624644,-0.10548869190654,-0.0253056907794092,0.035159730259451,0.0269915767100277,-0.0371267656504528,0.5901
-0.0007380806258835,-0.0028260441203589,0.6083459492044785,-0.3254867045759363,0.6083466105359054,-0.3254766879964239,0.6072251892231447,-0.3238907559726988,0.0102814302098727,-0.0452466507329228,-0.0096616680181945,0.0422384049109056,0.6072251892231447,-0.3238907559726988,-0.0096616680181945,0.0422384049109056,0.0102814302098727,-0.0452466507329228,0.5902
-0.0018807208465673,-0.0029905222071693,0.4670700579553461,-0.5079065658458097,0.4670740137132415,-0.507897351942056,0.4665167401853997,-0.5060148492202424,-0.0082651159455117,-0.0462285573657001,0.0075004029741175,0.0426793639310251,0.4665167401853997,-0.5060148492202424,0.0075004029741175,0.0426793639310251,-0.0082651159455117,-0.0462285573657001,0.5902999999999999
-0.0029949407664852,-0.002695116248411,0.2736012398000418,-0.6335317149250912,0.2736080302817353,-0.6335243533569256,0.2736951459748164,-0.6315387480944642,-0.0257269465460871,-0.0399232489394103,0.0234788993267938,0.0364200879494712,0.2736951459748164,-0.6315387480944642,0.0234788993267938,0.0364200879494712,-0.0257269465460871,-0.0399232489394103,0.5903999999999999
-0.0039040625249826,-0.0019888122869796,0.0495917082940563,-0.6883724224882568,0.04960055118592,-0.6883677481444925,0.0503460370881498,-0.6864991210732823,-0.0393570803047802,-0.0273301094776875,0.0357655985815613,0.0244544349771907,0.0503460370881498,-0.6864991210732823,0.0357655985815613,0.0244544349771907,-0.0393570803047802,-0.0273301094776875,0.5904999999999999
-0.0044649604409425,-0.0009852680731211,-0.1799276097012622,-0.6663610145646834,-0.1799177286551514,-0.6663595526880234,-0.1785787751383595,-0.6648295859658045,-0.047016327627097,-0.0104373537924883,0.0424412842510223,0.0086702774263807,-0.1785787751383595,-0.6648295859658045,0.0424412842510223,0.0086702774263807,-0.047016327627097,-0.0104373537924883,0.5906
-0.0045904377339377,0.0001555112445133,-0.3893466425133809,-0.570012384274868,-0.3893368525539606,-0.5700142915067609,-0.3875487191444337,-0.5690140065116691,-0.0475094716291504,0.0080941931810578,0.0424742767471904,-0.008453276249429,-0.3875487191444337,-0.5690140065116691,0.0424742767471904,-0.008453276249429,-0.0475094716291504,0.0080941931810578,0.5907
-0.0042626621718162,0.0012526860773638,-0.5553326686285742,-0.4101258707385882,-0.5553240843355454,-0.4101309187285201,-0.5532949988442439,-0.4097889130561212,-0.0407707069205138,0.0253527061837007,0.0358758878730959,-0.02423855280926,-0.5532949988442439,-0.4097889130561212,0.0358758878730959,-0.02423855280926,-0.0407707069205138,0.0253527061837007,0.5908
-0.003535602692363,0.0021332279335777,-0.6594253665517076,-0.2045649605010046,-0.6594189605126624,-0.2045725637529833,-0.6573914827188864,-0.2049328136497666,-0.0278696245203287,0.0386346687146076,0.0236909571200816,-0.0362284172099406,-0.6573914827188864,-0.2049328136497666,0.0236909571200816,-0.0362284172099406,-0.0278696245203287,0.0386346687146076,0.5909
-0.0025261501432225,0.0026591754714838,-0.6900824190315972,0.0237462921158259,-0.690078911468887,0.0237370076202863,-0.688293203092364,0.022721379261068,-0.0108380229070147,0.0458686825924248,0.0078281123809096,-0.0425661549284427,-0.688293203092364,0.022721379261068,0.0078281123809096,-0.0425661549284427,-0.0108380229070147,0.0458686825924248,0.591
-0.001395384241363,0.0027492259393675,-0.6439498711203976,0.2493846805333027,-0.6439496490615436,0.2493747760881279,-0.6426090133880225,0.2478307622480204,0.007653552967174,0.0459369631964322,-0.0092411666342818,-0.0422785259461098,-0.6426090133880225,0.2478307622480204,-0.0092411666342818,-0.0422785259461098,0.007653552967174,0.0459369631964322,0.5911
-0.0003229864959149,0.0023913028727373,-0.5262184360032138,0.4472604855885114,-0.5262215110699403,0.4472510877557102,-0.5254680322856026,0.4453625991379943,0.0247170555228394,0.0388447667470466,-0.0248667049066652,-0.0354206274815912,-0.5254680322856026,0.4453625991379943,-0.0248667049066652,-0.0354206274815912,0.0247170555228394,0.0388447667470466,0.5912
0.0005211441925004,0.0016441778114478,-0.3500290079765463,0.5954056062235381,-0.3500350173289584,0.5953977782175316,-0.3499386605028252,0.5933775935705052,0.0376986802482477,0.0257127765103448,-0.0366279161652132,-0.0230627149570584,-0.3499386605028252,0.5933775935705052,-0.0366279161652132,-0.0230627149570584,0.0376986802482477,0.0257127765103448,0.5912999999999999
0.0010036027551813,0.0006279527744922,-0.1349964221008889,0.6774074917083115,-0.1350046720663059,0.6774021129536212,-0.1355641820843607,0.6754661364773713,0.044590069390853,0.0085957841471653,-0.0427047621791581,-0.0071226599631637,-0.1355641820843607,0.6754661364773713,-0.0427047621791581,-0.0071226599631637,0.044590069390853,0.0085957841471653,0.5913999999999999
0.0010483355189819,-0.0004950418211038,0.0949817586968223,0.6842196235827771,0.0949722116828125,0.6842172911335918,0.0938214635361787,0.6825649861480726,0.0443355297098902,-0.0098418447632093,-0.0421561759888073,0.0099298773223846,0.0938214635361787,0.6825649861480726,-0.0421561759888073,0.0099298773223846,0.0443355297098902,-0.0098418447632093,0.5914999999999999
0.0006484072389044,-0.0015458866047085,0.3143857999810627,0.6151495332478678,0.3143760407127484,0.6151504961014596,0.3127522537445498,0.6139512559256262,0.0369891997819353,-0.0267417722957128,-0.0350645086919234,0.0254530031610369,0.3127522537445498,0.6139512559256262,-0.0350645086919234,0.0254530031610369,0.0369891997819353,-0.0267417722957128,0.5916
